title,link,source,date,snippet,page
US-backed Syrian fighters battle to clear final two IS villages,https://www.bbc.com/news/world-middle-east-47238717,BBC,14 Feb 2019,"The wives have been taken to SDF-run camps for displaced people. Among them are many foreign nationals, including the British teenager Shamima Begum,...",4
French Islamic State accused handed over to face trial in Iraq,https://www.bbc.com/news/world-europe-47370288,BBC,26 Feb 2019,French President Emmanuel Macron (R) shakes hands with Iraqi President Barham Saleh as they attend a press conference at The Elysee Palace in Paris.,4
Islamic State: Thousands of foreign children in Syrian camps,https://www.bbc.com/news/world-middle-east-47304399,BBC,21 Feb 2019,"The children, whose parents were Islamic State members, are at the centre of an international battle.",4
Islamic State group: Could it rebound from caliphate defeat?,https://www.bbc.com/news/world-middle-east-47286277,BBC,18 Feb 2019,"Although the IS caliphate may be over, tensions in Iraq and Syria mean the ideology remains alive.",4
Islamic State group: Could it rebound from caliphate defeat?,https://www.bbc.com/news/world-middle-east-47286277,BBC,18 Feb 2019,"Although the IS caliphate may be over, tensions in Iraq and Syria mean the ideology remains alive.",5
Islamic State group: Civilians evacuated from last Syria enclave,https://www.bbc.com/news/world-middle-east-47306633,BBC,20 Feb 2019,"The last of the group's militants are said to be ""entrenched inside"" as hundreds of civilians leave.",5
Syria war: US to leave 200 troops for peacekeeping after withdrawal,https://www.bbc.com/news/world-middle-east-47330402,BBC,22 Feb 2019,A US-backed alliance is waiting to evacuate civilians before launching its final assault on IS militants in Syria.,5
IS 'trapping 200 families' in last bastion in Syria,https://www.bbc.com/news/world-middle-east-47292778,BBC,19 Feb 2019,"The Syrian Observatory for Human Rights, a UK-based monitoring group, cited its sources as saying wives and children of militants would be taken to an...",5
"Isis bride, sex education backlash",https://www.bbc.com/audio/play/m0002rls,BBC,17 Feb 2025,Tania Joya is a former ISIS bride and now lives in the US and works in de-radicalisation. She talks to Edward Stourton about the Shamima Begum case.,5
"Begum, wavuye mu Bwongereza akajya mu mutwe wiyita leta ya kisilamu, avuga ko adafite ubwenegihugu bwa Bangladesh",https://www.bbc.com/gahuza/amakuru-47312416,BBC,20 Feb 2019,"Bangladesh yavuze ko ikibazo cya Shamina Begum, wambuwe ubwenegihugu bw'Ubwongereza nyuma yo kujya mu ntagondwa zo mu mutwe wiyita Leta ya Kiyisilamu...",5
How many IS foreign fighters are left in Iraq and Syria?,https://www.bbc.com/news/world-middle-east-47286935,BBC,20 Feb 2019,"With the end of the IS territorial ""caliphate"" imminent, the US has led calls to repatriate the hundreds of men, women and children who have been detained...",5
Shamima Begum: Number of people stripped of UK citizenship soars by 600% in a year,https://www.independent.co.uk/news/uk/home-news/shamima-begum-uk-citizenship-stripped-home-office-sajid-javid-a8788301.html,The Independent,20 Feb 2019,The government's use of controversial powers to remove British citizenship has soared by more than 600 per cent in a year.,1
"More than 2,500 foreign children living in camps in north-east Syria, say aid workers",https://www.independent.co.uk/news/world/middle-east/syria-camps-shamima-begum-save-the-children-aid-a8789286.html,The Independent,20 Feb 2019,Save the Children argues for Isis bride Shamima Begum to be allowed to return to Britain.,1
"Shamima Begum was a ‘victim’ in joining Isis, and even Nazis had a fair trial, family lawyer says",https://www.independent.co.uk/news/world/middle-east/shamima-begum-return-uk-nazis-fair-trial-lawyer-isis-syria-a8784251.html,The Independent,18 Feb 2019,"19-year-old has lost two children and wants to return to UK, but does 'not regret' joining Isis in 2014 aged 15.",1
Shamima Begum: Isis bride's face used as target at Merseyside shooting range,https://www.independent.co.uk/news/uk/home-news/shamima-begum-isis-bride-shooting-range-gun-merseyside-a8799326.html,The Independent,27 Feb 2019,"From reproductive rights to climate change to Big Tech, The Independent is on the ground when the story is developing. Whether it's investigating the...",1
"Isis bride Shamima Begum’s life in Syria: Two dead children, daily airstrikes and decapitated heads",https://www.independent.co.uk/news/world/middle-east/shamima-begum-isis-syria-life-bethnal-green-school-girl-syria-isis-return-uk-dead-children-a8779186.html,The Independent,14 Feb 2019,"Isis bride Shamima Begum's life in Syria: Two dead children, daily airstrikes and decapitated heads · Ex-Bethnal Green school girl left UK for Syria in 2015...",1
"Female Isis members are being underestimated by security services because of jihadi bride stereotypes, UN warns",https://www.independent.co.uk/news/world/middle-east/jihadi-bride-female-isis-security-services-shamima-begum-terorrism-latest-a8800356.html,The Independent,27 Feb 2019,Report says stranding female jihadis like Shamima Begum in Syria 'could exacerbate future Isis-related threats',1
Isis teenage bride says Manchester Arena bombing was ‘justified’ because of the Syria airstrikes,https://www.independent.co.uk/news/world/middle-east/shamima-begum-isis-interview-manchester-bombing-terror-attack-syria-airstrikes-a8784741.html,The Independent,18 Feb 2019,"The Manchester Arena attack was “justified” because of airstrikes that have killed civilians in Syria, Shamima Begum has claimed. The 19-year-old,...",1
Shamima Begum says she's being treated differently 'because I was on the news four years ago',https://www.independent.co.uk/news/world/middle-east/shamima-begum-isis-syria-uk-citizenship-revoked-sajid-javid-home-office-a8787846.html,The Independent,20 Feb 2019,"Shamima Begum, who fled the UK to join Isis in Syria aged 15, has suggested she is being treated differently to others in similar situations who wish to return...",1
What happened to the Britons who went to join Isis?,https://www.independent.co.uk/news/world/middle-east/uk-isis-recruits-syria-return-british-caliphate-terrorism-jihadis-a8781056.html,The Independent,19 Feb 2019,"There are thought to be around 20 British women and children currently in displacement camps in northern Syria, and potentially more than a dozen still yet to...",1
Bangladeshi,https://www.independent.co.uk/topic/bangladeshi,The Independent,21 Feb 2019,Rights groups say migrant workers are dying on Saudi job sites as kingdom prepares for World Cup · Campus Protests Immigration Arrest.,1
"As the UK debates what to do with Isis suspects, one country has taken back 1,000 ‘terrorists’",https://www.independent.co.uk/news/world/middle-east/isis-shamima-begum-uk-return-tunisia-terror-suspects-islamic-state-a8786281.html,The Independent,19 Feb 2019,Tunisia has taken back more than 1000 terror suspects since 2011.,2
First female British Isis member jailed in UK is freed from prison,https://www.independent.co.uk/news/uk/crime/tareena-shakil-isis-bride-uk-prison-jail-release-syria-son-terror-a8780891.html,The Independent,15 Feb 2019,Former finance student took her 18-month-old son to Syria in 2014 after calling for people to fight for Isis on social media.,2
They came to Syria to fight Isis. Now they want to stay,https://www.independent.co.uk/news/world/middle-east/isis-syria-soldiers-kurds-ypg-turkey-britain-a8793081.html,The Independent,25 Feb 2019,"A Canadian metal worker, a British engineer and an American restaurant worker are among thousands of western volunteers who came to join a 'revolution',...",2
Tommy Robinson supporters bombard personal trainer with racist abuse over fitness class for Muslim women,https://www.independent.co.uk/news/uk/home-news/tommy-robinson-muslim-fitness-classes-women-nottingham-abuse-islam-a8792056.html,The Independent,22 Feb 2019,"Exclusive: 'It has made me feel paranoid and worried. When I leave work, there could be anyone there. If they are carrying a weapon to slash my tyres – what...",2
